BenefitName,BusinessYear,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,CopayInnTier1,CopayInnTier2,CopayOutofNet,EHBVarReason,Exclusions,Explanation,ImportDate,IsCovered,IsEHB,IsExclFromInnMOOP,IsExclFromOonMOOP,IsStateMandate,IsSubjToDedTier1,IsSubjToDedTier2,IssuerId,IssuerId2,LimitQty,LimitUnit,MinimumStay,PlanId,QuantLimitOnSvc,RowNumber,SourceName,StandardComponentId,StateCode,StateCode2,VersionNum
Long-Term/Custodial Nursing Home Care,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,70,HIOS,73836AK0650002,AK,AK,6
Private-Duty Nursing,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,71,HIOS,73836AK0650002,AK,AK,6
Routine Eye Exam (Adult),2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,72,HIOS,73836AK0650002,AK,AK,6
Urgent Care Centers or Facilities,2014,No Charge,,50%,$35,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,No,No,73836,73836,,,,73836AK0650002-01,,73,HIOS,73836AK0650002,AK,AK,6
Home Health Care Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,130.0,Visit(s) per Year,,73836AK0650002-01,Yes,74,HIOS,73836AK0650002,AK,AK,6
Emergency Room Services,2014,35%,,35%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,75,HIOS,73836AK0650002,AK,AK,6
Emergency Transportation/Ambulance,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,76,HIOS,73836AK0650002,AK,AK,6
"Inpatient Hospital Services (e.g., Hospital Stay)",2014,35%,,50%,$0 Copay per Day,,$0 Copay per Day,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,77,HIOS,73836AK0650002,AK,AK,6
Inpatient Physician and Surgical Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,78,HIOS,73836AK0650002,AK,AK,6
Bariatric Surgery,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,79,HIOS,73836AK0650002,AK,AK,6
Cosmetic Surgery,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,80,HIOS,73836AK0650002,AK,AK,6
Skilled Nursing Facility,2014,35%,,50%,$0 Copay per Day,,$0 Copay per Day,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,60.0,Days per Year,,73836AK0650002-01,Yes,81,HIOS,73836AK0650002,AK,AK,6
Prenatal and Postnatal Care,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,82,HIOS,73836AK0650002,AK,AK,6
Delivery and All Inpatient Services for Maternity Care,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0650002-01,,83,HIOS,73836AK0650002,AK,AK,6
Mental/Behavioral Health Outpatient Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,84,HIOS,73836AK0650002,AK,AK,6
Mental/Behavioral Health Inpatient Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,85,HIOS,73836AK0650002,AK,AK,6
Substance Abuse Disorder Outpatient Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,86,HIOS,73836AK0650002,AK,AK,6
Substance Abuse Disorder Inpatient Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,87,HIOS,73836AK0650002,AK,AK,6
Generic Drugs,2014,No Charge,,No Charge,$15,,$15,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,No,No,73836,73836,,,,73836AK0650002-01,,88,HIOS,73836AK0650002,AK,AK,6
Preferred Brand Drugs,2014,45%,,45%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,89,HIOS,73836AK0650002,AK,AK,6
Non-Preferred Brand Drugs,2014,45%,,45%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,90,HIOS,73836AK0650002,AK,AK,6
Specialty Drugs,2014,45%,,45%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,91,HIOS,73836AK0650002,AK,AK,6
Outpatient Rehabilitation Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,45.0,Visit(s) per Year,,73836AK0650002-01,Yes,92,HIOS,73836AK0650002,AK,AK,6
Habilitation Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,45.0,Visit(s) per Year,,73836AK0650002-01,Yes,93,HIOS,73836AK0650002,AK,AK,6
Chiropractic Care,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,12.0,Visit(s) per Year,,73836AK0650002-01,Yes,94,HIOS,73836AK0650002,AK,AK,6
Durable Medical Equipment,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,95,HIOS,73836AK0650002,AK,AK,6
Hearing Aids,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,96,HIOS,73836AK0650002,AK,AK,6
"Imaging (CT/PET Scans, MRIs)",2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,97,HIOS,73836AK0650002,AK,AK,6
Preventive Care/Screening/Immunization,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,Yes,No,No,73836,73836,,,,73836AK0650002-01,,98,HIOS,73836AK0650002,AK,AK,6
Routine Foot Care,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,99,HIOS,73836AK0650002,AK,AK,6
Acupuncture,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,12.0,Visit(s) per Year,,73836AK0650002-01,Yes,100,HIOS,73836AK0650002,AK,AK,6
Weight Loss Programs,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,101,HIOS,73836AK0650002,AK,AK,6
Routine Eye Exam for Children,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,1.0,Visit(s) per Year,,73836AK0650002-01,Yes,102,HIOS,73836AK0650002,AK,AK,6
Eye Glasses for Children,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,1.0,Item(s) per Year,,73836AK0650002-01,Yes,103,HIOS,73836AK0650002,AK,AK,6
Dental Check-Up for Children,2014,,,,,,,Dental Only Plan Available,,,2014-04-18 11:49:29,Not Covered,Yes,,,,,,73836,73836,,,,73836AK0650002-01,,104,HIOS,73836AK0650002,AK,AK,6
Rehabilitative Speech Therapy,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,105,HIOS,73836AK0650002,AK,AK,6
Rehabilitative Occupational and Rehabilitative Physical Therapy,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,106,HIOS,73836AK0650002,AK,AK,6
Well Baby Visits and Care,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,107,HIOS,73836AK0650002,AK,AK,6
Laboratory Outpatient and Professional Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,108,HIOS,73836AK0650002,AK,AK,6
X-rays and Diagnostic Imaging,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,109,HIOS,73836AK0650002,AK,AK,6
Basic Dental Care - Child,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,110,HIOS,73836AK0650002,AK,AK,6
Orthodontia - Child,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,111,HIOS,73836AK0650002,AK,AK,6
Major Dental Care - Child,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,112,HIOS,73836AK0650002,AK,AK,6
Basic Dental Care - Adult,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,113,HIOS,73836AK0650002,AK,AK,6
Orthodontia - Adult,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,114,HIOS,73836AK0650002,AK,AK,6
Major Dental Care - Adult,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,115,HIOS,73836AK0650002,AK,AK,6
Abortion for Which Public Funding is Prohibited,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,116,HIOS,73836AK0650002,AK,AK,6
Transplant,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,117,HIOS,73836AK0650002,AK,AK,6
Accidental Dental,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,118,HIOS,73836AK0650002,AK,AK,6
Dialysis,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,119,HIOS,73836AK0650002,AK,AK,6
Allergy Testing,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,120,HIOS,73836AK0650002,AK,AK,6
Chemotherapy,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,121,HIOS,73836AK0650002,AK,AK,6
Radiation,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,122,HIOS,73836AK0650002,AK,AK,6
Diabetes Education,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,123,HIOS,73836AK0650002,AK,AK,6
Prosthetic Devices,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,124,HIOS,73836AK0650002,AK,AK,6
Infusion Therapy,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-01,,125,HIOS,73836AK0650002,AK,AK,6
Treatment for Temporomandibular Joint Disorders,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,126,HIOS,73836AK0650002,AK,AK,6
Nutritional Counseling,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-01,,127,HIOS,73836AK0650002,AK,AK,6
Reconstructive Surgery,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0650002-01,,128,HIOS,73836AK0650002,AK,AK,6
Clinical Trials,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0650002-01,,129,HIOS,73836AK0650002,AK,AK,6
Diabetes Care Management,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0650002-01,,130,HIOS,73836AK0650002,AK,AK,6
Inherited Metabolic Disorder - PKU,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0650002-01,,131,HIOS,73836AK0650002,AK,AK,6
Newborn Hearing Screening,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0650002-01,,132,HIOS,73836AK0650002,AK,AK,6
Primary Care Visit to Treat an Injury or Illness,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,No,No,73836,73836,,,,73836AK0650002-02,,61,HIOS,73836AK0650002,AK,AK,6
Specialist Visit,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,62,HIOS,73836AK0650002,AK,AK,6
"Other Practitioner Office Visit (Nurse, Physician Assistant)",2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,63,HIOS,73836AK0650002,AK,AK,6
"Outpatient Facility Fee (e.g.,  Ambulatory Surgery Center)",2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,64,HIOS,73836AK0650002,AK,AK,6
Outpatient Surgery Physician/Surgical Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,65,HIOS,73836AK0650002,AK,AK,6
Hospice Services,2014,0%,,0%,$0,,$0,,,"Quantitative limit units apply, see EHB benchmark.",2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,66,HIOS,73836AK0650002,AK,AK,6
Non-Emergency Care When Traveling Outside the U.S.,2014,,,,,,,Additional EHB Benefit,,,2014-04-18 11:49:29,,Yes,,,,,,73836,73836,,,,73836AK0650002-02,,67,HIOS,73836AK0650002,AK,AK,6
Routine Dental Services (Adult),2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,68,HIOS,73836AK0650002,AK,AK,6
Infertility Treatment,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,69,HIOS,73836AK0650002,AK,AK,6
Long-Term/Custodial Nursing Home Care,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,70,HIOS,73836AK0650002,AK,AK,6
Private-Duty Nursing,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,71,HIOS,73836AK0650002,AK,AK,6
Routine Eye Exam (Adult),2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,72,HIOS,73836AK0650002,AK,AK,6
Urgent Care Centers or Facilities,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,No,No,73836,73836,,,,73836AK0650002-02,,73,HIOS,73836AK0650002,AK,AK,6
Home Health Care Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,130.0,Visit(s) per Year,,73836AK0650002-02,Yes,74,HIOS,73836AK0650002,AK,AK,6
Emergency Room Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,75,HIOS,73836AK0650002,AK,AK,6
Emergency Transportation/Ambulance,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,76,HIOS,73836AK0650002,AK,AK,6
"Inpatient Hospital Services (e.g., Hospital Stay)",2014,0%,,0%,$0 Copay per Day,,$0 Copay per Day,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,77,HIOS,73836AK0650002,AK,AK,6
Inpatient Physician and Surgical Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,78,HIOS,73836AK0650002,AK,AK,6
Bariatric Surgery,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,79,HIOS,73836AK0650002,AK,AK,6
Cosmetic Surgery,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,80,HIOS,73836AK0650002,AK,AK,6
Skilled Nursing Facility,2014,0%,,0%,$0 Copay per Day,,$0 Copay per Day,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,60.0,Days per Year,,73836AK0650002-02,Yes,81,HIOS,73836AK0650002,AK,AK,6
Prenatal and Postnatal Care,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,82,HIOS,73836AK0650002,AK,AK,6
Delivery and All Inpatient Services for Maternity Care,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0650002-02,,83,HIOS,73836AK0650002,AK,AK,6
Mental/Behavioral Health Outpatient Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,84,HIOS,73836AK0650002,AK,AK,6
Mental/Behavioral Health Inpatient Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,85,HIOS,73836AK0650002,AK,AK,6
Substance Abuse Disorder Outpatient Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,86,HIOS,73836AK0650002,AK,AK,6
Substance Abuse Disorder Inpatient Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,87,HIOS,73836AK0650002,AK,AK,6
Generic Drugs,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,No,No,73836,73836,,,,73836AK0650002-02,,88,HIOS,73836AK0650002,AK,AK,6
Preferred Brand Drugs,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,89,HIOS,73836AK0650002,AK,AK,6
Non-Preferred Brand Drugs,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,90,HIOS,73836AK0650002,AK,AK,6
Specialty Drugs,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,91,HIOS,73836AK0650002,AK,AK,6
Outpatient Rehabilitation Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,45.0,Visit(s) per Year,,73836AK0650002-02,Yes,92,HIOS,73836AK0650002,AK,AK,6
Habilitation Services,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,45.0,Visit(s) per Year,,73836AK0650002-02,Yes,93,HIOS,73836AK0650002,AK,AK,6
Chiropractic Care,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,12.0,Visit(s) per Year,,73836AK0650002-02,Yes,94,HIOS,73836AK0650002,AK,AK,6
Durable Medical Equipment,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,95,HIOS,73836AK0650002,AK,AK,6
Hearing Aids,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,96,HIOS,73836AK0650002,AK,AK,6
"Imaging (CT/PET Scans, MRIs)",2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-02,,97,HIOS,73836AK0650002,AK,AK,6
Preventive Care/Screening/Immunization,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,Yes,No,No,73836,73836,,,,73836AK0650002-02,,98,HIOS,73836AK0650002,AK,AK,6
Routine Foot Care,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,99,HIOS,73836AK0650002,AK,AK,6
Acupuncture,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,12.0,Visit(s) per Year,,73836AK0650002-02,Yes,100,HIOS,73836AK0650002,AK,AK,6
Weight Loss Programs,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-02,,101,HIOS,73836AK0650002,AK,AK,6
Routine Eye Exam for Children,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,1.0,Visit(s) per Year,,73836AK0650002-02,Yes,102,HIOS,73836AK0650002,AK,AK,6
Eye Glasses for Children,2014,0%,,0%,$0,,$0,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,1.0,Item(s) per Year,,73836AK0650002-02,Yes,103,HIOS,73836AK0650002,AK,AK,6
Dental Check-Up for Children,2014,,,,,,,Dental Only Plan Available,,,2014-04-18 11:49:29,Not Covered,Yes,,,,,,73836,73836,,,,73836AK0650002-02,,104,HIOS,73836AK0650002,AK,AK,6
Preferred Brand Drugs,2014,45%,,45%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-03,,89,HIOS,73836AK0650002,AK,AK,6
Non-Preferred Brand Drugs,2014,45%,,45%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-03,,90,HIOS,73836AK0650002,AK,AK,6
Specialty Drugs,2014,45%,,45%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-03,,91,HIOS,73836AK0650002,AK,AK,6
Outpatient Rehabilitation Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,45.0,Visit(s) per Year,,73836AK0650002-03,Yes,92,HIOS,73836AK0650002,AK,AK,6
Habilitation Services,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,45.0,Visit(s) per Year,,73836AK0650002-03,Yes,93,HIOS,73836AK0650002,AK,AK,6
Chiropractic Care,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,12.0,Visit(s) per Year,,73836AK0650002-03,Yes,94,HIOS,73836AK0650002,AK,AK,6
Durable Medical Equipment,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-03,,95,HIOS,73836AK0650002,AK,AK,6
Hearing Aids,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-03,,96,HIOS,73836AK0650002,AK,AK,6
"Imaging (CT/PET Scans, MRIs)",2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-03,,97,HIOS,73836AK0650002,AK,AK,6
Preventive Care/Screening/Immunization,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,Yes,No,No,73836,73836,,,,73836AK0650002-03,,98,HIOS,73836AK0650002,AK,AK,6
Routine Foot Care,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-03,,99,HIOS,73836AK0650002,AK,AK,6
Acupuncture,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,12.0,Visit(s) per Year,,73836AK0650002-03,Yes,100,HIOS,73836AK0650002,AK,AK,6
Weight Loss Programs,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0650002-03,,101,HIOS,73836AK0650002,AK,AK,6
Routine Eye Exam for Children,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,1.0,Visit(s) per Year,,73836AK0650002-03,Yes,102,HIOS,73836AK0650002,AK,AK,6
Eye Glasses for Children,2014,35%,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,1.0,Item(s) per Year,,73836AK0650002-03,Yes,103,HIOS,73836AK0650002,AK,AK,6
Dental Check-Up for Children,2014,,,,,,,Dental Only Plan Available,,,2014-04-18 11:49:29,Not Covered,Yes,,,,,,73836,73836,,,,73836AK0650002-03,,104,HIOS,73836AK0650002,AK,AK,6
Rehabilitative Speech Therapy,2014,35%,,50%,No Charge,,No Charge,Additional EHB Benefit,,,2014-04-18 11:49:29,Covered,,No,No,,Yes,Yes,73836,73836,,,,73836AK0650002-03,,105,HIOS,73836AK0650002,AK,AK,6
